540
# The above line gives a number >= max number of PMTs in this file
# The rest of this file contains PMT coordinates
# face is 0 for top, 1 for side, 2 for bottom
# meaning of fields as indicated on next line:
#face  ring  index_no    x       y        z     size
# top
    2    17   470      468    -2201    -2623  8
    2    17   471      915    -2055    -2623  8
    2    17   472     1323    -1820    -2623  8
    2    17   473     1672    -1506    -2623  8
    2    17   474     1949    -1125    -2623  8
    2    17   475     2140     -695    -2623  8
    2    17   476     2238     -235    -2623  8
#    2    18   477     1735      228    -2623  8
#    2    18   478     1617      670    -2623  8
#    2    18   479     1388     1065    -2623  8
#    2    18   480     1065     1388    -2623  8
#    2    18   481      670     1617    -2623  8
#    2    18   482      228     1735    -2623  8
#    2    18   483     -228     1735    -2623  8
#    2    18   484     -670     1617    -2623  8
#    2    18   485    -1065     1388    -2623  8
#    2    18   486    -1388     1065    -2623  8
#    2    18   487    -1617      670    -2623  8
#    2    18   488    -1735      228    -2623  8
#    2    18   489    -1735     -228    -2623  8
#    2    18   490    -1617     -670    -2623  8
#    2    18   491    -1388    -1065    -2623  8
#    2    18   492    -1065    -1388    -2623  8
#    2    18   493     -670    -1617    -2623  8
#    2    18   494     -228    -1735    -2623  8
#    2    18   495      228    -1735    -2623  8
#    2    18   496      670    -1617    -2623  8
#    2    18   497     1065    -1388    -2623  8
#    2    18   498     1388    -1065    -2623  8
#    2    18   499     1617     -670    -2623  8
#    2    18   500     1735     -228    -2623  8
    2    19   501     1231      217    -2623  8
    2    19   502     1083      625    -2623  8
    2    19   503      803      958    -2623  8
    2    19   504      428     1175    -2623  8
    2    19   505        0     1250    -2623  8
    2    19   506     -428     1175    -2623  8
    2    19   507     -803      958    -2623  8
    2    19   508    -1083      625    -2623  8
    2    19   509    -1231      217    -2623  8
    2    19   510    -1231     -217    -2623  8
    2    19   511    -1083     -625    -2623  8
    2    19   512     -803     -958    -2623  8
    2    19   513     -428    -1175    -2623  8
    2    19   514        0    -1250    -2623  8
    2    19   515      428    -1175    -2623  8
    2    19   516      803     -958    -2623  8
    2    19   517     1083     -625    -2623  8
    2    19   518     1231     -217    -2623  8
#    2    20   519      724      194    -2623  8
#    2    20   520      530      530    -2623  8
#    2    20   521      194      724    -2623  8
#    2    20   522     -194      724    -2623  8
#    2    20   523     -530      530    -2623  8
#    2    20   524     -724      194    -2623  8
#    2    20   525     -724     -194    -2623  8
#    2    20   526     -530     -530    -2623  8
#    2    20   527     -194     -724    -2623  8
#    2    20   528      194     -724    -2623  8
#    2    20   529      530     -530    -2623  8
#    2    20   530      724     -194    -2623  8
    2    21   531      200      346    -2623  8
    2    21   532     -400        0    -2623  8
    2    21   533      200     -346    -2623  8
