480
# The above line gives a number >= max number of PMTs in this file
# The rest of this file contains PMT coordinates
# face is 0 for top, 1 for side, 2 for bottom
# meaning of fields as indicated on next line:
#face  ring  index_no    x       y        z     size
# top
   1       0     328      -0   -9000    4500      10
   1       0     329    1756   -8827    4500      10
   1       0     330    3444   -8315    4500      10
   1       0     331    5000   -7483    4500      10
   1       0     332    6364   -6364    4500      10
   1       0     333    7483   -5000    4500      10
   1       0     334    8315   -3444    4500      10
   1       0     335    8827   -1756    4500      10
   1       0     336    8957     882    6300      10
   1       0     337    8612    2613    6300      10
   1       0     338    7937    4243    6300      10
   1       0     339    6957    5710    6300      10
   1       0     340    5710    6957    6300      10
   1       0     341    4243    7937    6300      10
   1       0     342    2613    8612    6300      10
   1       0     343     882    8957    6300      10
   1       0     344    -882    8957    6300      10
   1       0     345   -2613    8612    6300      10
   1       0     346   -4243    7937    6300      10
   1       0     347   -5710    6957    6300      10
   1       0     348   -6957    5710    6300      10
   1       0     349   -7937    4243    6300      10
   1       0     350   -8612    2613    6300      10
   1       0     351   -8957     882    6300      10
   1       0     352   -8957    -882    6300      10
   1       0     353   -8612   -2613    6300      10
   1       0     354   -7937   -4243    6300      10
   1       0     355   -6957   -5710    6300      10
   1       0     356   -5710   -6957    6300      10
   1       0     357   -4243   -7937    6300      10
   1       0     358   -2613   -8612    6300      10
   1       0     359    -882   -8957    6300      10
   1       0     360     882   -8957    6300      10
   1       0     361    2613   -8612    6300      10
   1       0     362    4243   -7937    6300      10
   1       0     363    5710   -6957    6300      10
   1       0     364    6957   -5710    6300      10
   1       0     365    7937   -4243    6300      10
   1       0     366    8612   -2613    6300      10
   1       0     367    8957    -882    6300      10
   1       0     368    9000       0    8100      10
   1       0     369    8827    1756    8100      10
   1       0     370    8315    3444    8100      10
   1       0     371    7483    5000    8100      10
   1       0     372    6364    6364    8100      10
   1       0     373    5000    7483    8100      10
   1       0     374    3444    8315    8100      10
   1       0     375    1756    8827    8100      10
   1       0     376       0    9000    8100      10
   1       0     377   -1756    8827    8100      10
   1       0     378   -3444    8315    8100      10
   1       0     379   -5000    7483    8100      10
   1       0     380   -6364    6364    8100      10
   1       0     381   -7483    5000    8100      10
   1       0     382   -8315    3444    8100      10
   1       0     383   -8827    1756    8100      10
   1       0     384   -9000       0    8100      10
   1       0     385   -8827   -1756    8100      10
   1       0     386   -8315   -3444    8100      10
   1       0     387   -7483   -5000    8100      10
   1       0     388   -6364   -6364    8100      10
   1       0     389   -5000   -7483    8100      10
   1       0     390   -3444   -8315    8100      10
   1       0     391   -1756   -8827    8100      10
   1       0     392      -0   -9000    8100      10
   1       0     393    1756   -8827    8100      10
   1       0     394    3444   -8315    8100      10
   1       0     395    5000   -7483    8100      10
   1       0     396    6364   -6364    8100      10
   1       0     397    7483   -5000    8100      10
   1       0     398    8315   -3444    8100      10
